;Audio_Filenames;track_genre_1;track_genre_2;length;multi_genres
24;4em001_27_Persian-Escape_703637.wav;Atmosphere;World Music;6.397.387.755.102.040;Atmosphere World Music
25;4em001_28_Mideast-Troops_703638.wav;Atmosphere;World Music;6.606.367.346.938.770;Atmosphere World Music
26;4em001_29_Desert-Wind_703639.wav;Atmosphere;World Music;5.804.408.163.265.300;Atmosphere World Music
27;4em001_30_Prowling-Winds_703640.wav;Atmosphere;World Music;9.756.734.693.877.550;Atmosphere World Music
28;4em001_31_Mideast-Caution_703641.wav;Atmosphere;World Music;46.393.469.387.755.100;Atmosphere World Music
29;4em001_33_Desert-Darkness_703643.wav;Atmosphere;World Music;5.804.408.163.265.300;Atmosphere World Music
30;4em002_01_Cuban-Party---Casa-De-Carlos_703644.wav;Latin;World Music;8.235.294.784.580.490;Latin World Music
31;4em002_02_Cuban-Party_703645.wav;Latin;World Music;8.235.294.784.580.490;Latin World Music
32;4em002_03_Do-It-On-Two_703646.wav;Latin;Dance;6.255.639.455.782.310;Dance Latin
33;4em002_04_Cosmo-Mambo_703647.wav;Latin;World Music;60.350.861.678.004.500;Latin World Music
34;4em002_05_Cosmo-Mambo---No-Lead_703648.wav;Latin;World Music;60.350.861.678.004.500;Latin World Music
35;4em002_06_Matanzas_703649.wav;Latin;World Music;9.783.185.941.043.080;Latin World Music
36;4em002_07_8th-Street-Rumba_703650.wav;Latin;Dance;104.0;Dance Latin
37;4em002_08_Guns-And-Drums_703651.wav;Latin;Dance;104.0;Dance Latin
38;4em002_09_Toma_703652.wav;Latin;Dance;6.506.977.324.263.030;Dance Latin
39;4em002_10_Brujo_703653.wav;Latin;World Music;10.053.410.430.839.000;Latin World Music
40;4em002_11_Sierra-Chill_703654.wav;Latin;World Music;8.112.904.761.904.760;Latin World Music
41;4em002_12_Viva-Las-Ciruelas_703655.wav;Latin;World Music;67.4;Latin World Music
42;4em002_13_Brazil-6-String_703656.wav;Latin;World Music;5.067.755.102.040.810;Latin World Music
43;4em002_14_Salvation's-Moon_703657.wav;Atmosphere;World Music;1.161.665.306.122.440;Atmosphere World Music
44;4em002_15_Gypsy-Moths---Major-Lead_703658.wav;Latin;World Music;40.542.040.816.326.500;Latin World Music
45;4em002_16_Gypsy-Moths---Major_703659.wav;Latin;World Music;40.542.040.816.326.500;Latin World Music
46;4em002_17_Gypsy-Moths---No-Guitar_703660.wav;Latin;World Music;4.038.530.612.244.890;Latin World Music
47;4em002_18_Gypsy-Moths_703661.wav;Latin;World Music;4.129.959.183.673.460;Latin World Music
48;4em002_19_Seductive-Nylon_703662.wav;Latin;World Music;6.705.632.653.061.220;Latin World Music
49;4em002_20_Latin-Seas_703663.wav;Latin;World Music;61.962.448.979.591.800;Latin World Music
50;4em002_23_Latin-Heat---Piano_703666.wav;Latin;World Music;58.096.326.530.612.200;Latin World Music
51;4em002_24_Latin-Heat---Whistle_703667.wav;Latin;World Music;5.807.020.408.163.260;Latin World Music
52;4em002_26_Border-Dance_703669.wav;Latin;World Music;790.465.306.122.449;Latin World Music
53;4em002_27_Cuban-Waters---Percussion_703670.wav;Atmosphere;World Music;1.017.730.612.244.890;Atmosphere World Music
54;4em002_28_Venezuela-To-Spain_703671.wav;Latin;Atmosphere;10.582.204.081.632.600;Atmosphere Latin
55;4em003_01_Dreams-Of-Moscow_703672.wav;Atmosphere;World Music;663.004.081.632.653;Atmosphere World Music
56;4em003_02_Deep-Snow_703673.wav;Atmosphere;World Music;53.159.183.673.469.300;Atmosphere World Music
57;4em003_03_Old-Ukraine---Vinyl_703674.wav;Country, Folk;World Music;8.557.587.301.587.300;Country, Folk World Music
58;4em003_04_Old-Ukraine_703675.wav;Country, Folk;World Music;8.528.571.428.571.420;Country, Folk World Music
59;4em003_05_Slovak-Up_703676.wav;Atmosphere;World Music;7.087.020.408.163.260;Atmosphere World Music
60;4em003_06_Slovak-Slow_703677.wav;Atmosphere;World Music;4.163.918.367.346.930;Atmosphere World Music
61;4em003_07_White-Russian_703678.wav;Dance;World Music;7.465.278.911.564.620;Dance World Music
62;4em003_08_Bullfight-Horn_703679.wav;Atmosphere;World Music;6.185.795.918.367.340;Atmosphere World Music
63;4em003_09_Mafia-Ballet_703680.wav;Atmosphere;World Music;937.534.693.877.551;Atmosphere World Music
64;4em003_10_Eastern-Europe-Day_703681.wav;Country, Folk;World Music;6.990.367.346.938.770;Country, Folk World Music
65;4em003_11_Kantele-Day_703682.wav;Atmosphere;World Music;72.0;Atmosphere World Music
66;4em003_12_French-Picnic_703683.wav;Atmosphere;World Music;8.387.918.367.346.930;Atmosphere World Music
67;4em003_13_Celtic-Sea-Whistle_703684.wav;Atmosphere;World Music;7.886.367.346.938.770;Atmosphere World Music
68;4em004_01_Diabolique_703685.wav;Dance;World Music;10.111.111.111.111.100;Dance World Music
69;4em004_02_Hologram_703686.wav;Atmosphere;World Music;9.226.414.965.986.390;Atmosphere World Music
70;4em004_03_Visualize_703687.wav;Atmosphere;World Music;9.142.857.142.857.140;Atmosphere World Music
71;4em004_04_Underneath-It-All_703688.wav;Atmosphere;World Music;9.351.063.492.063.490;Atmosphere World Music
72;4em004_05_Mumbai-Makeover_703689.wav;Atmosphere;World Music;111.0;Atmosphere World Music
73;4em004_06_Witching-Hour_703690.wav;Atmosphere;World Music;8.222.222.222.222.220;Atmosphere World Music
74;4em004_07_Traveling-Further_703691.wav;Atmosphere;World Music;8.933.333.333.333.330;Atmosphere World Music
75;4em004_08_FutureBossa_703692.wav;Latin;Ambient, Chill;8.534.195.011.337.860;Ambient, Chill Latin
76;4em004_09_Andean-Cliffs_703693.wav;Atmosphere;World Music;8.609.997.732.426.300;Atmosphere World Music
77;4em004_10_Andean-Cliffs---No-Flute_703694.wav;Atmosphere;World Music;8.609.997.732.426.300;Atmosphere World Music
78;4em004_11_Fire-Run_703695.wav;Dance;World Music;826.790.022.675.737;Dance World Music
79;4em004_12_Hip-Not-Shy---World_703696.wav;Hip Hop, Rap;World Music;9.278.693.877.551.020;Hip Hop, Rap World Music
80;4em004_13_Glide-Metals-Buzzing_703697.wav;Atmosphere;World Music;8.265.142.857.142.850;Atmosphere World Music
81;4em004_14_Aphropen_703698.wav;Atmosphere;World Music;1.043.069.387.755.100;Atmosphere World Music
82;4em004_15_Aphropunch_703699.wav;Atmosphere;World Music;8.461.061.224.489.790;Atmosphere World Music
83;4em004_16_Aphropunch---No-Top-Hits_703700.wav;Atmosphere;World Music;8.596.897.959.183.670;Atmosphere World Music
84;4em004_17_Jungle-Moon_703701.wav;Atmosphere;World Music;7.855.020.408.163.260;Atmosphere World Music
85;4em004_18_Neon-Hot_703702.wav;Atmosphere;World Music;59.585.306.122.448.900;Atmosphere World Music
86;4em004_19_Rain-Clouds_703703.wav;Atmosphere;World Music;6.794.448.979.591.830;Atmosphere World Music
87;4em004_20_World-Groove_703704.wav;Dance;World Music;50.181.224.489.795.900;Dance World Music
88;4em004_21_World-Groove---No-Portamento_703705.wav;Dance;World Music;527.934.693.877.551;Dance World Music
89;4em004_22_World-Groove---Fast_703706.wav;Dance;World Music;4.378.122.448.979.590;Dance World Music
90;4em004_23_World-Groove-Portamento---Fast_703707.wav;Dance;World Music;44.878.367.346.938.700;Dance World Music
91;4em004_24_Charting-The-Terrain_703708.wav;Atmosphere;World Music;7.609.469.387.755.100;Atmosphere World Music
92;4em005_01_Spiritus-Mundi_703709.wav;Atmosphere;World Music;88.0;Atmosphere World Music
93;4em005_02_Swami-Stroll---Tanpura_703710.wav;Atmosphere;World Music;1.272.915.873.015.870;Atmosphere World Music
94;4em005_03_Swami-Stroll_703711.wav;Atmosphere;World Music;12.506.235.827.664.300;Atmosphere World Music
95;4em005_04_Afghan-Hills_703712.wav;Atmosphere;World Music;6.564.571.428.571.420;Atmosphere World Music
96;4em005_05_Afghan-Hills---Long_703713.wav;Atmosphere;World Music;14.518.857.142.857.100;Atmosphere World Music
97;4em005_06_Deep-Wind_703714.wav;Atmosphere;World Music;4.587.102.040.816.320;Atmosphere World Music
98;4em005_08_Rajah-Groove-Go_703716.wav;Atmosphere;World Music;752.326.530.612.245;Atmosphere World Music
99;4em005_09_Bhan-Ho-Go_703717.wav;Atmosphere;World Music;8.035.265.306.122.440;Atmosphere World Music
100;4em005_10_Currying-Favor_703718.wav;Atmosphere;World Music;7.878.530.612.244.890;Atmosphere World Music
101;4em005_11_Old-Trip-To-Mumbai_703719.wav;Atmosphere;World Music;7.575.510.204.081.630;Atmosphere World Music
102;4em005_12_Lemon-Grass-Skirts_703720.wav;Atmosphere;World Music;7.405.714.285.714.280;Atmosphere World Music
103;4em005_13_Sonorous-Hope_703721.wav;Atmosphere;World Music;7.113.142.857.142.850;Atmosphere World Music
104;4em005_14_Sonorous-Hope---No-Percussion_703722.wav;Atmosphere;World Music;7.121.229.024.943.310;Atmosphere World Music
105;4em005_15_Holistic-Needs_703723.wav;Atmosphere;World Music;5.927.183.673.469.380;Atmosphere World Music
106;4em005_16_Elements_703724.wav;Atmosphere;World Music;6.274.612.244.897.950;Atmosphere World Music
107;4em005_17_Elements---No-Bells_703725.wav;Atmosphere;World Music;6.274.612.244.897.950;Atmosphere World Music
108;4em005_18_Desert-Hands---w-Pad_703726.wav;Atmosphere;World Music;56.711.836.734.693.800;Atmosphere World Music
109;4em005_19_Desert-Trade_703727.wav;Atmosphere;World Music;6.606.367.346.938.770;Atmosphere World Music
110;4em005_20_This-Side-Of-Hope_703728.wav;Atmosphere;World Music;8.106.922.902.494.330;Atmosphere World Music
111;4em005_21_Soft-Sands_703729.wav;Atmosphere;World Music;7.089.632.653.061.220;Atmosphere World Music
112;4em005_22_Travels-East_703730.wav;Atmosphere;World Music;6.285.061.224.489.790;Atmosphere World Music
113;4em005_24_Crossing-The-Bay_703732.wav;Atmosphere;World Music;6.769.013.605.442.170;Atmosphere World Music
114;4em005_25_Redeemed-Majesty_703733.wav;Atmosphere;World Music;7.975.183.673.469.380;Atmosphere World Music
115;4em005_26_Trip-East_703734.wav;Atmosphere;World Music;78.08;Atmosphere World Music
116;4em005_27_Trip-East---Dark-B_703735.wav;Atmosphere;World Music;780.538.775.510.204;Atmosphere World Music
117;4em006_01_African-Views_703736.wav;Atmosphere;World Music;10.863.156.462.585.000;Atmosphere World Music
118;4em006_02_African-Views---No-Vox_703737.wav;Atmosphere;World Music;10.863.156.462.585.000;Atmosphere World Music
119;4em006_03_Wandering-Spirit_703738.wav;Atmosphere;World Music;939.130.612.244.898;Atmosphere World Music
120;4em006_04_Tribal-Traditions_703739.wav;Atmosphere;World Music;10.146.439.909.297.000;Atmosphere World Music
121;4em006_05_Monkey-Mayhem_703740.wav;Atmosphere;World Music;8.267.716.553.287.980;Atmosphere World Music
122;4em006_06_Mixed-Culture_703741.wav;Atmosphere;World Music;9.142.857.142.857.140;Atmosphere World Music
123;4em006_07_Mayan-Walk_703742.wav;Atmosphere;World Music;6.608.979.591.836.730;Atmosphere World Music
124;4em006_08_Weathered-Hands_703743.wav;Atmosphere;World Music;62.458.775.510.204.000;Atmosphere World Music
125;4em006_09_Mayan-Flight_703744.wav;Atmosphere;World Music;8.390.530.612.244.890;Atmosphere World Music
126;4em006_10_Weathered-Hands---Drums_703745.wav;Atmosphere;World Music;6.243.265.306.122.440;Atmosphere World Music
127;4em006_11_Desert-Hands_703746.wav;Atmosphere;World Music;56.711.836.734.693.800;Atmosphere World Music
128;4em006_12_Across-The-Plains_703747.wav;Atmosphere;World Music;9.527.498.866.213.150;Atmosphere World Music
129;4em006_13_Bitter-Parihuela_703748.wav;Atmosphere;World Music;10.200.426.303.854.800;Atmosphere World Music
130;4em006_14_Peruvian-Prison_703749.wav;Atmosphere;World Music;10.971.428.571.428.500;Atmosphere World Music
131;4em006_15_Inca-Trail_703750.wav;Atmosphere;World Music;70.5;Atmosphere World Music
132;4em006_16_Back-Then---Long_703751.wav;Atmosphere;World Music;9.615.673.469.387.750;Atmosphere World Music
133;4em006_17_World-Luck_703752.wav;Atmosphere;World Music;6.919.836.734.693.870;Atmosphere World Music
134;4em006_18_Back-East_703753.wav;Atmosphere;World Music;7.465.795.918.367.340;Atmosphere World Music
135;4em006_19_Andes-Tension_703754.wav;Atmosphere;World Music;42.736.326.530.612.200;Atmosphere World Music
136;4em006_20_Andes-Tension---w-Piano-And-Flute_703755.wav;Atmosphere;World Music;4.242.285.714.285.710;Atmosphere World Music
137;4em006_21_Below-The-Equator_703756.wav;Atmosphere;World Music;803.004.081.632.653;Atmosphere World Music
138;4em006_22_Even-Drums_703757.wav;Atmosphere;World Music;4.012.408.163.265.300;Atmosphere World Music
139;4em006_23_Far-Drums-In-3_703758.wav;Atmosphere;World Music;4.281.469.387.755.100;Atmosphere World Music
140;4em006_26_Good-Day-Africa-New_703761.wav;Atmosphere;World Music;6.885.877.551.020.400;Atmosphere World Music
141;4em006_27_Journey-In-The-Wind_703762.wav;Atmosphere;World Music;5.584.979.591.836.730;Atmosphere World Music
142;4em006_28_Journey-In-The-Wind---No-Bell_703763.wav;Atmosphere;World Music;55.457.959.183.673.400;Atmosphere World Music
143;4em006_29_Native-Drive_703764.wav;Atmosphere;World Music;7.949.061.224.489.790;Atmosphere World Music
144;4em006_30_Native-Drive---Less-Flute_703765.wav;Atmosphere;World Music;7.946.448.979.591.830;Atmosphere World Music
145;4em006_31_Native-Drive---Faster_703766.wav;Atmosphere;World Music;7.379.591.836.734.690;Atmosphere World Music
146;4em006_32_Native-Drive---Slower_703767.wav;Atmosphere;World Music;905.926.530.612.245;Atmosphere World Music
147;4em006_33_Native-Sons_703768.wav;Atmosphere;World Music;12.546.612.244.897.900;Atmosphere World Music
148;4em006_36_Native-Sons---Section-C_703771.wav;Atmosphere;World Music;8.609.959.183.673.460;Atmosphere World Music
149;4em006_37_35-Year-Old_703772.wav;Atmosphere;World Music;4.877.061.224.489.790;Atmosphere World Music
150;4em007_01_The-Sun-Shines-Again_703775.wav;Latin;World Music;9.710.238.095.238.090;Latin World Music
151;4em007_02_World-Of-Hope_703776.wav;Latin;World Music;10.756.968.253.968.200;Latin World Music
152;4em007_03_World-Of-Hope---No-Vox_703777.wav;Latin;World Music;10.701.024.943.310.600;Latin World Music
153;4em007_04_Soca-Party_703778.wav;Dance;World Music;9.415.385.487.528.340;Dance World Music
154;4em007_05_Vacation-Island_703779.wav;Dance;World Music;74.4;Dance World Music
155;4em007_06_Dark-Island_703780.wav;Latin;World Music;9.538.460.317.460.310;Latin World Music
156;4em007_07_Rum-And-Coke_703781.wav;Latin;World Music;6.655.995.464.852.600;Latin World Music
157;4em007_08_Rum-And-Coke---Intro-Only_703782.wav;Latin;World Music;4.046.689.342.403.620;Latin World Music
158;4em007_09_Funtown---Alt-Guitar_703783.wav;Dance;World Music;12.894.040.816.326.500;Dance World Music
159;4em007_10_Funtown_703784.wav;Dance;World Music;12.894.040.816.326.500;Dance World Music
160;4em007_11_Island-Siblings_703785.wav;World Music;Pop;8.453.224.489.795.910;Pop World Music
161;4em007_12_Pop-Ska_703786.wav;Dance;World Music;4.652.408.163.265.300;Dance World Music
162;4em007_13_Pop-Ska---Steel-Drums_703787.wav;Dance;World Music;4.297.142.857.142.850;Dance World Music
163;4em007_14_Pop-Ska---w-Piano_703788.wav;Dance;World Music;4.589.714.285.714.280;Dance World Music
164;4em007_15_Reggae-Drive_703789.wav;World Music;Pop;10.028.408.163.265.300;Pop World Music
165;4em007_16_On-Vacation_703790.wav;Atmosphere;World Music;13.586.285.714.285.700;Atmosphere World Music
166;4em007_17_Reggae-Stroll_703791.wav;World Music;Pop;7.975.183.673.469.380;Pop World Music
167;4em007_18_Roll-Me-One_703792.wav;World Music;Pop;7.567.673.469.387.750;Pop World Music
168;4em007_19_Roll-Me-One-Faster_703793.wav;World Music;Pop;6.893.714.285.714.280;Pop World Music
169;4em007_20_Forgotten-Lands_703794.wav;Atmosphere;World Music;9.784.616.780.045.350;Atmosphere World Music
170;4em007_21_Forgotten-Lands---No-Perc_703795.wav;Atmosphere;World Music;10.153.848.072.562.300;Atmosphere World Music
171;4em008_01_Middle-Eastern-Sun_703796.wav;Atmosphere;World Music;6.700.757.369.614.510;Atmosphere World Music
172;4em008_02_Dunya-Dance_703797.wav;Atmosphere;World Music;68.0;Atmosphere World Music
173;4em008_03_Marhabah_703798.wav;Atmosphere;World Music;679.415.873.015.873;Atmosphere World Music
174;4em008_04_Oud-Mirage_703799.wav;Atmosphere;World Music;8.384.614.512.471.650;Atmosphere World Music
175;4em008_05_Oud-Mirage---No-Lead_703800.wav;Atmosphere;World Music;8.384.614.512.471.650;Atmosphere World Music
176;4em008_06_Persian-Desert_703801.wav;Atmosphere;World Music;9.869.494.331.065.750;Atmosphere World Music
177;4em008_07_Mystical-World---Lite_703802.wav;Atmosphere;World Music;1.170.731.746.031.740;Atmosphere World Music
178;4em008_08_Mystical-World---No-Clarinet_703803.wav;Atmosphere;World Music;1.170.731.746.031.740;Atmosphere World Music
179;4em008_09_Mystical-World_703804.wav;Atmosphere;World Music;11.268.292.517.006.800;Atmosphere World Music
180;4em008_10_Sahara-Dunes_703805.wav;Atmosphere;World Music;11.050.925.170.068.000;Atmosphere World Music
181;4em008_11_Camel-Run_703806.wav;Atmosphere;World Music;6.576.922.902.494.330;Atmosphere World Music
182;4em008_12_Weary-Traveler_703807.wav;Atmosphere;World Music;108.0;Atmosphere World Music
183;4em008_13_Saudi-Sun_703808.wav;Atmosphere;World Music;8.594.285.714.285.710;Atmosphere World Music
184;4em008_14_Saudi-Zip_703809.wav;Atmosphere;World Music;784.195.918.367.347;Atmosphere World Music
185;4em008_15_Big-Chant-Big-Hope_703810.wav;Atmosphere;World Music;59.115.102.040.816.300;Atmosphere World Music
186;4em008_16_Black-Tie-Dubai_703811.wav;Atmosphere;World Music;6.964.244.897.959.180;Atmosphere World Music
187;4em008_17_Eastern-Vibe_703812.wav;Atmosphere;World Music;12.235.294.784.580.400;Atmosphere World Music
188;4em008_18_Eastern-Vibe---No-Tablas_703813.wav;Atmosphere;World Music;12.235.294.784.580.400;Atmosphere World Music
189;4em008_19_Eastern-Way_703814.wav;Atmosphere;World Music;12.117.648.526.077.000;Atmosphere World Music
190;4em008_20_Healing-Hands_703815.wav;Atmosphere;World Music;745.534.693.877.551;Atmosphere World Music
191;4em008_21_Mideast-Goodwill_703816.wav;Atmosphere;World Music;9.652.244.897.959.180;Atmosphere World Music
192;4em008_22_Mideast-Wind---No-Perc_703817.wav;Atmosphere;World Music;6.384.326.530.612.240;Atmosphere World Music
193;4em008_23_Mideast-Wind---Open_703818.wav;Atmosphere;World Music;53.263.673.469.387.700;Atmosphere World Music
194;4em008_24_Mideast-Wind_703819.wav;Atmosphere;World Music;6.384.326.530.612.240;Atmosphere World Music
195;4em008_25_One-And-Many_703820.wav;Atmosphere;World Music;9.223.836.734.693.870;Atmosphere World Music
198;4em009_04_Search-by-Night_703824.wav;Atmosphere;Filmscore;5.846.204.081.632.650;Atmosphere Filmscore
209;4em009_15_Lethal-Mistake_703835.wav;Atmosphere;Filmscore;4.150.857.142.857.140;Atmosphere Filmscore
210;4em009_17_Dark-Tines_703837.wav;Atmosphere;Filmscore;9.829.877.551.020.400;Atmosphere Filmscore
211;4em009_18_The-Music-Lesson_703838.wav;Atmosphere;Filmscore;7.337.795.918.367.340;Atmosphere Filmscore
222;4em009_30_Dark-Bounce---No-Perc_703850.wav;Atmosphere;Filmscore;7.460.571.428.571.420;Atmosphere Filmscore
229;4em009_38_Three-Days-Run_703858.wav;Atmosphere;Electronica;6.703.020.408.163.260;Atmosphere Electronica
231;4em009_43_The-Search_703863.wav;Atmosphere;Electronica;6.535.836.734.693.870;Atmosphere Electronica
232;4em009_44_Dark-Trouble_703864.wav;Filmscore;Classical Music;7.635.591.836.734.690;Classical Music Filmscore
234;4em010_02_Soft-Sniping_703866.wav;Atmosphere;Electronica;47.542.857.142.857.100;Atmosphere Electronica
236;4em010_04_Bad-Idea_703868.wav;Atmosphere;Electronica;10.830.367.346.938.700;Atmosphere Electronica
238;4em010_06_Fluorescence---Redux_703870.wav;Filmscore;Electronica;7.504.979.591.836.730;Electronica Filmscore
240;4em010_12_Half-Moon-2_703876.wav;Filmscore;Classical Music;11.159.510.204.081.600;Classical Music Filmscore
243;4em010_15_On-The-Bones_703879.wav;Filmscore;Classical Music;5.417.795.918.367.340;Classical Music Filmscore
248;4em010_22_Dreaming_703886.wav;Atmosphere;Filmscore;4.015.020.408.163.260;Atmosphere Filmscore
250;4em010_24_Oct-6-Moon_703888.wav;Atmosphere;Electronica;4.587.102.040.816.320;Atmosphere Electronica
251;4em010_25_Act-II-Nov-18_703889.wav;Filmscore;Classical Music;6.332.988.662.131.510;Classical Music Filmscore
252;4em010_26_Act-II-Nov-18-b_703890.wav;Filmscore;Classical Music;7.832.852.607.709.750;Classical Music Filmscore
253;4em010_28_Bad-Realization---Short_703892.wav;Atmosphere;Electronica;53.289.795.918.367.300;Atmosphere Electronica
254;4em010_29_Moms-And-Cops_703893.wav;Filmscore;Classical Music;4.640.791.383.219.950;Classical Music Filmscore
255;4em010_30_Desperate-Alley_703894.wav;Filmscore;Classical Music;6.504.489.795.918.360;Classical Music Filmscore
256;4em010_31_Desperate-Alley---Less_703895.wav;Filmscore;Classical Music;6.504.489.795.918.360;Classical Music Filmscore
257;4em010_32_Desperate-Alley---Piano_703896.wav;Filmscore;Classical Music;6.352.979.591.836.730;Classical Music Filmscore
258;4em010_33_Desperate-Alley---Bare_703897.wav;Filmscore;Classical Music;6.512.326.530.612.240;Classical Music Filmscore
259;4em010_34_News-Travels_703898.wav;Filmscore;Pop;6.998.204.081.632.650;Filmscore Pop
260;4em010_35_Three-Hitmen_703899.wav;Filmscore;Electronica;15.830.204.081.632.600;Electronica Filmscore
262;4em010_39_After-Murder-Long_703903.wav;Filmscore;Classical Music;4.312.816.326.530.610;Classical Music Filmscore
264;4em010_41_Dark-Passage_703905.wav;Filmscore;Electronica;5.208.816.326.530.610;Electronica Filmscore
265;4em010_42_Sniper-One_703906.wav;Filmscore;Electronica;811.702.947.845.805;Electronica Filmscore
266;4em010_43_Dark-And-Cross_703907.wav;Filmscore;Electronica;5.235.111.111.111.110;Electronica Filmscore
270;4em010_47_Young-Martha_703911.wav;Filmscore;Classical Music;4.874.448.979.591.830;Classical Music Filmscore
273;4em010_50_Low-Clav-Open_703914.wav;Filmscore;Electronica;58.226.938.775.510.200;Electronica Filmscore
274;4em011_01_One-Day-In-The-Groove_703915.wav;Funk, Soul;Filmscore;6.657.535.147.392.290;Filmscore Funk, Soul
276;4em011_03_Runway-Groove_703917.wav;Latin;World Music;4.887.510.204.081.630;Latin World Music
277;4em011_04_Runway-Groove---Tenor_703918.wav;Latin;World Music;4.900.773.242.630.380;Latin World Music
278;4em011_05_Pop-LA-Gospel_703919.wav;RnB;Others;43.415.510.204.081.600;Others RnB
279;4em011_06_Pop-Gospel_703920.wav;Others;Others;11.138.612.244.897.900;Others Others
280;4em011_07_Pop-Gospel---w-Sax_703921.wav;Others;Others;11.445.367.346.938.700;Others Others
281;4em011_08_Dance-Mutant_703922.wav;Easy Listening;Electronica;7.405.714.285.714.280;Easy Listening Electronica
282;4em011_09_Pop-Funk-Pad---Long_703923.wav;Dance;Others;11.888.326.530.612.200;Dance Others
283;4em011_10_Pop-Funk---w--Horns_703924.wav;Dance;Others;6.013.387.755.102.040;Dance Others
284;4em011_13_'83-R-and-R---w-Sax_703927.wav;Others;Pop;7.125.151.927.437.640;Others Pop
285;4em011_14_Pop-Piano-Rock_703928.wav;Others;Pop;6.982.530.612.244.890;Others Pop
286;4em011_15_Digital-Telegroove_703929.wav;Atmosphere;Filmscore;1.209.730.612.244.890;Atmosphere Filmscore
287;4em011_19_Uptown-Pop_703933.wav;Dance;Others;7.724.408.163.265.300;Dance Others
288;4em011_20_Hammerjam_703934.wav;Atmosphere;Others;8.408.816.326.530.610;Atmosphere Others
290;4em012_01_Still-Piano_703476.wav;Atmosphere;Filmscore;4.853.551.020.408.160;Atmosphere Filmscore
292;4em012_05_Spring-Tale_703480.wav;Easy Listening;Atmosphere;9.114.122.448.979.590;Atmosphere Easy Listening
300;4em012_15_He's-Precious_703490.wav;Atmosphere;Filmscore;7.792.326.530.612.240;Atmosphere Filmscore
303;4em012_18_Above-The-Ashes_703493.wav;Atmosphere;Filmscore;8.616.920.634.920.630;Atmosphere Filmscore
304;4em012_19_We-Live-Here_703494.wav;Atmosphere;Filmscore;5.391.673.469.387.750;Atmosphere Filmscore
306;4em012_21_MOR-Inspired_703496.wav;Atmosphere;Filmscore;8.502.857.142.857.140;Atmosphere Filmscore
307;4em012_22_MOR-Inspired---No-Percussion_703497.wav;Atmosphere;Filmscore;8.505.469.387.755.100;Atmosphere Filmscore
308;4em012_23_Sad-Piano-Journey_703498.wav;Atmosphere;Filmscore;9.155.918.367.346.930;Atmosphere Filmscore
322;4em012_41_Sad-5---Pensive_703516.wav;Atmosphere;Filmscore;713.665.306.122.449;Atmosphere Filmscore
